[2017-06-02 14:59:33:270] PID=[7696] TID=[6644]  [Info] "start to logging to server  mmsrvpub.srcdoc.com  port  10130" 	RemoteServerConn::start .\RemoteServerConn.cpp  line:54
[2017-06-02 14:59:36:337] PID=[7696] TID=[6644]  [Info] " create contact list adapter " 	ContactListAdapter::ContactListAdapter .\wechat\WxSessionWnd.cpp  line:51
[2017-06-02 14:59:36:337] PID=[7696] TID=[6644]  [Info] " create contact list adapter " 	ContactListAdapter::ContactListAdapter .\wechat\WxSessionWnd.cpp  line:51
[2017-06-02 14:59:36:339] PID=[7696] TID=[6644]  [Info] "  setAccount  " 	WxSessionWnd::setAccount .\wechat\WxSessionWnd.cpp  line:392
[2017-06-02 14:59:36:342] PID=[7696] TID=[6644]  [Info] "  thread test  " 	WxSessionWnd::clearUnread .\wechat\WxSessionWnd.cpp  line:628
[2017-06-02 14:59:36:342] PID=[7696] TID=[6644]  [Info] "  OnRecentContact  899822d7-454a-426f-aed2-80973aefbf0e [] " 	WxSessionWnd::OnRecentContact .\wechat\WxSessionWnd.cpp  line:386
[2017-06-02 14:59:36:343] PID=[7696] TID=[6644]  [Info] "  OnRecentContact  d63b9084-4d3e-452a-9ba0-37432c4d23b6 [] " 	WxSessionWnd::OnRecentContact .\wechat\WxSessionWnd.cpp  line:386
[2017-06-02 14:59:36:343] PID=[7696] TID=[6644]  [Info] "  OnRecentContact  f136933b-bb6f-4450-b69e-3a8cb3ce685b [] " 	WxSessionWnd::OnRecentContact .\wechat\WxSessionWnd.cpp  line:386
[2017-06-02 14:59:36:343] PID=[7696] TID=[6644]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 14:59:36:343] PID=[7696] TID=[6644]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 14:59:36:343] PID=[7696] TID=[6644]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 14:59:36:343] PID=[7696] TID=[6644]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 14:59:36:343] PID=[7696] TID=[6644]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 14:59:36:343] PID=[7696] TID=[6644]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 14:59:36:404] PID=[7696] TID=[6644]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 14:59:36:404] PID=[7696] TID=[6644]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 14:59:36:404] PID=[7696] TID=[6644]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 14:59:43:132] PID=[7696] TID=[6644]  [Info] "  thread test  " 	WxSessionWnd::clearUnread .\wechat\WxSessionWnd.cpp  line:628
[2017-06-02 14:59:43:668] PID=[7696] TID=[6644]  [Info] "  thread test  " 	WxSessionWnd::clearUnread .\wechat\WxSessionWnd.cpp  line:628
[2017-06-02 14:59:44:277] PID=[7696] TID=[6644]  [Info] "  thread test  " 	WxSessionWnd::clearUnread .\wechat\WxSessionWnd.cpp  line:628
[2017-06-02 14:59:46:108] PID=[7696] TID=[6644]  [Info] "  thread test  " 	WxSessionWnd::OnBtnGroups .\wechat\WxSessionWnd.cpp  line:825
[2017-06-02 14:59:46:108] PID=[7696] TID=[6644]  [Info] " set Items  0 " 	ContactListAdapter::setItems .\wechat\WxSessionWnd.cpp  line:61
[2017-06-02 14:59:46:276] PID=[7696] TID=[6644]  [Info] "  thread test  " 	WxSessionWnd::OnBtnGroups .\wechat\WxSessionWnd.cpp  line:825
[2017-06-02 14:59:46:276] PID=[7696] TID=[6644]  [Info] " set Items  0 " 	ContactListAdapter::setItems .\wechat\WxSessionWnd.cpp  line:61
[2017-06-02 14:59:46:428] PID=[7696] TID=[6644]  [Info] "  thread test  " 	WxSessionWnd::OnBtnGroups .\wechat\WxSessionWnd.cpp  line:825
[2017-06-02 14:59:46:428] PID=[7696] TID=[6644]  [Info] " set Items  0 " 	ContactListAdapter::setItems .\wechat\WxSessionWnd.cpp  line:61
[2017-06-02 14:59:46:612] PID=[7696] TID=[6644]  [Info] "  thread test  " 	WxSessionWnd::OnBtnGroups .\wechat\WxSessionWnd.cpp  line:825
[2017-06-02 14:59:46:612] PID=[7696] TID=[6644]  [Info] " set Items  0 " 	ContactListAdapter::setItems .\wechat\WxSessionWnd.cpp  line:61
[2017-06-02 14:59:47:012] PID=[7696] TID=[6644]  [Info] "  thread test  " 	WxSessionWnd::OnContactKillFocus .\wechat\WxSessionWnd.cpp  line:874
[2017-06-02 14:59:47:292] PID=[7696] TID=[6644]  [Info] "  thread test  " 	WxSessionWnd::clearUnread .\wechat\WxSessionWnd.cpp  line:628
[2017-06-02 14:59:47:820] PID=[7696] TID=[6644]  [Info] "  thread test  " 	WxSessionWnd::clearUnread .\wechat\WxSessionWnd.cpp  line:628
[2017-06-02 15:00:24:590] PID=[7952] TID=[7600]  [Info] "start to logging to server  mmsrvpub.srcdoc.com  port  10130" 	RemoteServerConn::start .\RemoteServerConn.cpp  line:54
[2017-06-02 15:00:24:647] PID=[7952] TID=[7600]  [Info] "remote server connected code   0" 	NetStateEvent::onConnected .\server-events\NetStateEvent.cpp  line:37
[2017-06-02 15:00:29:352] PID=[7952] TID=[7600]  [Info] "stop remote server  " 	RemoteServerConn::stop .\RemoteServerConn.cpp  line:88
[2017-06-02 15:00:29:354] PID=[7952] TID=[7600]  [Info] "start to logging to server  119.23.75.90  port  10038" 	RemoteServerConn::start .\RemoteServerConn.cpp  line:54
[2017-06-02 15:00:29:354] PID=[7952] TID=[7600]  [Info] "0 119.23.75.90 10038" 	AccountPresenter::onRedirect .\login\account_presenter.cpp  line:90
[2017-06-02 15:00:29:363] PID=[7952] TID=[7600]  [Info] "remote server connected code   0" 	NetStateEvent::onConnected .\server-events\NetStateEvent.cpp  line:37
[2017-06-02 15:00:29:385] PID=[7952] TID=[7600]  [Info] "start to logging to server  119.23.75.90  port  10038" 	RemoteServerConn::start .\RemoteServerConn.cpp  line:54
[2017-06-02 15:00:29:385] PID=[7952] TID=[7600]  [Info] "0  " 	AccountPresenter::onLogin .\login\account_presenter.cpp  line:70
[2017-06-02 15:00:29:609] PID=[7952] TID=[7600]  [Info] "on update info ,last version  1 new version  1 url www.google.com " 	AccountPresenter::onUpdate .\login\account_presenter.cpp  line:118
[2017-06-02 15:00:29:609] PID=[7952] TID=[7600]  [Debug] " debug aes info   " 	ServerNetEvent::onLogin .\net-events\ServerNetEvent.cpp  line:112
[2017-06-02 15:00:29:609] PID=[7952] TID=[7600]  [Info] "remote server connected code   0" 	UploadNetStateEvent::onConnected .\server-events\UploadNetStateEvent.cpp  line:34
[2017-06-02 15:00:29:708] PID=[7952] TID=[7600]  [Info] "0  899822d7-454a-426f-aed2-80973aefbf0e   {} " 	WxChatDlg::onWechatLogin .\wechat\WxChatDlg.cpp  line:109
[2017-06-02 15:00:29:709] PID=[7952] TID=[7600]  [Info] " create WxSessionWnd  " 	WxSessionWnd::WxSessionWnd .\wechat\WxSessionWnd.cpp  line:136
[2017-06-02 15:00:29:719] PID=[7952] TID=[7600]  [Info] "  ChildrenCreated  " 	WxSessionWnd::ChildrenCreated .\wechat\WxSessionWnd.cpp  line:163
[2017-06-02 15:00:29:719] PID=[7952] TID=[7600]  [Info] " create contact list adapter " 	ContactListAdapter::ContactListAdapter .\wechat\WxSessionWnd.cpp  line:51
[2017-06-02 15:00:29:719] PID=[7952] TID=[7600]  [Info] " create contact list adapter " 	ContactListAdapter::ContactListAdapter .\wechat\WxSessionWnd.cpp  line:51
[2017-06-02 15:00:29:723] PID=[7952] TID=[7600]  [Info] "  setAccount  " 	WxSessionWnd::setAccount .\wechat\WxSessionWnd.cpp  line:392
[2017-06-02 15:00:29:725] PID=[7952] TID=[7600]  [Info] "  thread test  " 	WxSessionWnd::clearUnread .\wechat\WxSessionWnd.cpp  line:628
[2017-06-02 15:00:29:726] PID=[7952] TID=[7600]  [Info] "0  d63b9084-4d3e-452a-9ba0-37432c4d23b6   {} " 	WxChatDlg::onWechatLogin .\wechat\WxChatDlg.cpp  line:109
[2017-06-02 15:00:29:729] PID=[7952] TID=[7600]  [Info] " create WxSessionWnd  " 	WxSessionWnd::WxSessionWnd .\wechat\WxSessionWnd.cpp  line:136
[2017-06-02 15:00:29:742] PID=[7952] TID=[7600]  [Info] "  ChildrenCreated  " 	WxSessionWnd::ChildrenCreated .\wechat\WxSessionWnd.cpp  line:163
[2017-06-02 15:00:29:742] PID=[7952] TID=[7600]  [Info] " create contact list adapter " 	ContactListAdapter::ContactListAdapter .\wechat\WxSessionWnd.cpp  line:51
[2017-06-02 15:00:29:742] PID=[7952] TID=[7600]  [Info] " create contact list adapter " 	ContactListAdapter::ContactListAdapter .\wechat\WxSessionWnd.cpp  line:51
[2017-06-02 15:00:29:746] PID=[7952] TID=[7600]  [Info] "  setAccount  " 	WxSessionWnd::setAccount .\wechat\WxSessionWnd.cpp  line:392
[2017-06-02 15:00:29:750] PID=[7952] TID=[7600]  [Info] "  thread test  " 	WxSessionWnd::clearUnread .\wechat\WxSessionWnd.cpp  line:628
[2017-06-02 15:00:29:751] PID=[7952] TID=[7600]  [Info] "0  f136933b-bb6f-4450-b69e-3a8cb3ce685b   {} " 	WxChatDlg::onWechatLogin .\wechat\WxChatDlg.cpp  line:109
[2017-06-02 15:00:29:751] PID=[7952] TID=[7600]  [Info] " create WxSessionWnd  " 	WxSessionWnd::WxSessionWnd .\wechat\WxSessionWnd.cpp  line:136
[2017-06-02 15:00:29:755] PID=[7952] TID=[7600]  [Info] "  ChildrenCreated  " 	WxSessionWnd::ChildrenCreated .\wechat\WxSessionWnd.cpp  line:163
[2017-06-02 15:00:29:755] PID=[7952] TID=[7600]  [Info] " create contact list adapter " 	ContactListAdapter::ContactListAdapter .\wechat\WxSessionWnd.cpp  line:51
[2017-06-02 15:00:29:755] PID=[7952] TID=[7600]  [Info] " create contact list adapter " 	ContactListAdapter::ContactListAdapter .\wechat\WxSessionWnd.cpp  line:51
[2017-06-02 15:00:29:757] PID=[7952] TID=[7600]  [Info] "  setAccount  " 	WxSessionWnd::setAccount .\wechat\WxSessionWnd.cpp  line:392
[2017-06-02 15:00:29:758] PID=[7952] TID=[7600]  [Info] "  thread test  " 	WxSessionWnd::clearUnread .\wechat\WxSessionWnd.cpp  line:628
[2017-06-02 15:00:29:758] PID=[7952] TID=[7600]  [Info] "  OnRecentContact  899822d7-454a-426f-aed2-80973aefbf0e [] " 	WxSessionWnd::OnRecentContact .\wechat\WxSessionWnd.cpp  line:386
[2017-06-02 15:00:29:758] PID=[7952] TID=[7600]  [Info] "  OnRecentContact  d63b9084-4d3e-452a-9ba0-37432c4d23b6 [] " 	WxSessionWnd::OnRecentContact .\wechat\WxSessionWnd.cpp  line:386
[2017-06-02 15:00:29:758] PID=[7952] TID=[7600]  [Info] "  OnRecentContact  f136933b-bb6f-4450-b69e-3a8cb3ce685b [] " 	WxSessionWnd::OnRecentContact .\wechat\WxSessionWnd.cpp  line:386
[2017-06-02 15:00:29:759] PID=[7952] TID=[7600]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 15:00:29:759] PID=[7952] TID=[7600]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 15:00:29:759] PID=[7952] TID=[7600]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 15:00:29:809] PID=[7952] TID=[7600]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 15:00:29:809] PID=[7952] TID=[7600]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 15:00:29:809] PID=[7952] TID=[7600]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 15:00:29:809] PID=[7952] TID=[7600]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 15:00:29:809] PID=[7952] TID=[7600]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 15:00:29:809] PID=[7952] TID=[7600]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 15:00:31:125] PID=[7952] TID=[7600]  [Info] "  thread test  " 	WxSessionWnd::clearUnread .\wechat\WxSessionWnd.cpp  line:628
[2017-06-02 15:00:31:437] PID=[7952] TID=[7600]  [Info] "  thread test  " 	WxSessionWnd::clearUnread .\wechat\WxSessionWnd.cpp  line:628
[2017-06-02 15:00:35:689] PID=[7952] TID=[7600]  [Info] "  thread test  " 	WxSessionWnd::cancelSend .\wechat\WxSessionWnd.cpp  line:897
[2017-06-02 15:00:35:690] PID=[7952] TID=[7600]  [Info] "  thread test  " 	WxSessionWnd::cancelSend .\wechat\WxSessionWnd.cpp  line:897
[2017-06-02 15:00:35:691] PID=[7952] TID=[7600]  [Info] "  thread test  " 	WxSessionWnd::cancelSend .\wechat\WxSessionWnd.cpp  line:897
[2017-06-02 15:01:02:441] PID=[7444] TID=[2920]  [Info] "start to logging to server  mmsrvpub.srcdoc.com  port  10130" 	RemoteServerConn::start .\RemoteServerConn.cpp  line:54
[2017-06-02 15:01:02:495] PID=[7444] TID=[2920]  [Info] "remote server connected code   0" 	NetStateEvent::onConnected .\server-events\NetStateEvent.cpp  line:37
[2017-06-02 15:01:08:575] PID=[7444] TID=[2920]  [Info] "0 119.23.75.90 10038" 	AccountPresenter::onRedirect .\login\account_presenter.cpp  line:90
[2017-06-02 15:01:08:578] PID=[7444] TID=[2920]  [Info] "stop remote server  " 	RemoteServerConn::stop .\RemoteServerConn.cpp  line:88
[2017-06-02 15:01:08:580] PID=[7444] TID=[2920]  [Info] "start to logging to server  119.23.75.90  port  10038" 	RemoteServerConn::start .\RemoteServerConn.cpp  line:54
[2017-06-02 15:01:08:589] PID=[7444] TID=[2920]  [Info] "remote server connected code   0" 	NetStateEvent::onConnected .\server-events\NetStateEvent.cpp  line:37
[2017-06-02 15:01:08:608] PID=[7444] TID=[2920]  [Info] "0  " 	AccountPresenter::onLogin .\login\account_presenter.cpp  line:70
[2017-06-02 15:01:08:829] PID=[7444] TID=[2920]  [Info] "start to logging to server  119.23.75.90  port  10038" 	RemoteServerConn::start .\RemoteServerConn.cpp  line:54
[2017-06-02 15:01:08:829] PID=[7444] TID=[2920]  [Info] "on update info ,last version  1 new version  1 url www.google.com " 	AccountPresenter::onUpdate .\login\account_presenter.cpp  line:118
[2017-06-02 15:01:08:829] PID=[7444] TID=[2920]  [Debug] " debug aes info   " 	ServerNetEvent::onLogin .\net-events\ServerNetEvent.cpp  line:112
[2017-06-02 15:01:08:871] PID=[7444] TID=[2920]  [Info] "remote server connected code   0" 	UploadNetStateEvent::onConnected .\server-events\UploadNetStateEvent.cpp  line:34
[2017-06-02 15:01:09:077] PID=[7444] TID=[2920]  [Info] "0  899822d7-454a-426f-aed2-80973aefbf0e   {} " 	WxChatDlg::onWechatLogin .\wechat\WxChatDlg.cpp  line:109
[2017-06-02 15:01:09:078] PID=[7444] TID=[2920]  [Info] " create WxSessionWnd  " 	WxSessionWnd::WxSessionWnd .\wechat\WxSessionWnd.cpp  line:136
[2017-06-02 15:01:09:088] PID=[7444] TID=[2920]  [Info] "  ChildrenCreated  " 	WxSessionWnd::ChildrenCreated .\wechat\WxSessionWnd.cpp  line:163
[2017-06-02 15:01:09:088] PID=[7444] TID=[2920]  [Info] " create contact list adapter " 	ContactListAdapter::ContactListAdapter .\wechat\WxSessionWnd.cpp  line:51
[2017-06-02 15:01:09:088] PID=[7444] TID=[2920]  [Info] " create contact list adapter " 	ContactListAdapter::ContactListAdapter .\wechat\WxSessionWnd.cpp  line:51
[2017-06-02 15:01:09:097] PID=[7444] TID=[2920]  [Info] "  setAccount  " 	WxSessionWnd::setAccount .\wechat\WxSessionWnd.cpp  line:392
[2017-06-02 15:01:09:099] PID=[7444] TID=[2920]  [Info] "  thread test  " 	WxSessionWnd::clearUnread .\wechat\WxSessionWnd.cpp  line:628
[2017-06-02 15:01:09:099] PID=[7444] TID=[2920]  [Info] "0  d63b9084-4d3e-452a-9ba0-37432c4d23b6   {} " 	WxChatDlg::onWechatLogin .\wechat\WxChatDlg.cpp  line:109
[2017-06-02 15:01:09:100] PID=[7444] TID=[2920]  [Info] " create WxSessionWnd  " 	WxSessionWnd::WxSessionWnd .\wechat\WxSessionWnd.cpp  line:136
[2017-06-02 15:01:09:105] PID=[7444] TID=[2920]  [Info] "  ChildrenCreated  " 	WxSessionWnd::ChildrenCreated .\wechat\WxSessionWnd.cpp  line:163
[2017-06-02 15:01:09:105] PID=[7444] TID=[2920]  [Info] " create contact list adapter " 	ContactListAdapter::ContactListAdapter .\wechat\WxSessionWnd.cpp  line:51
[2017-06-02 15:01:09:105] PID=[7444] TID=[2920]  [Info] " create contact list adapter " 	ContactListAdapter::ContactListAdapter .\wechat\WxSessionWnd.cpp  line:51
[2017-06-02 15:01:09:110] PID=[7444] TID=[2920]  [Info] "  setAccount  " 	WxSessionWnd::setAccount .\wechat\WxSessionWnd.cpp  line:392
[2017-06-02 15:01:09:117] PID=[7444] TID=[2920]  [Info] "  thread test  " 	WxSessionWnd::clearUnread .\wechat\WxSessionWnd.cpp  line:628
[2017-06-02 15:01:09:118] PID=[7444] TID=[2920]  [Info] "0  f136933b-bb6f-4450-b69e-3a8cb3ce685b   {} " 	WxChatDlg::onWechatLogin .\wechat\WxChatDlg.cpp  line:109
[2017-06-02 15:01:09:120] PID=[7444] TID=[2920]  [Info] " create WxSessionWnd  " 	WxSessionWnd::WxSessionWnd .\wechat\WxSessionWnd.cpp  line:136
[2017-06-02 15:01:09:132] PID=[7444] TID=[2920]  [Info] "  ChildrenCreated  " 	WxSessionWnd::ChildrenCreated .\wechat\WxSessionWnd.cpp  line:163
[2017-06-02 15:01:09:132] PID=[7444] TID=[2920]  [Info] " create contact list adapter " 	ContactListAdapter::ContactListAdapter .\wechat\WxSessionWnd.cpp  line:51
[2017-06-02 15:01:09:132] PID=[7444] TID=[2920]  [Info] " create contact list adapter " 	ContactListAdapter::ContactListAdapter .\wechat\WxSessionWnd.cpp  line:51
[2017-06-02 15:01:09:134] PID=[7444] TID=[2920]  [Info] "  setAccount  " 	WxSessionWnd::setAccount .\wechat\WxSessionWnd.cpp  line:392
[2017-06-02 15:01:09:136] PID=[7444] TID=[2920]  [Info] "  thread test  " 	WxSessionWnd::clearUnread .\wechat\WxSessionWnd.cpp  line:628
[2017-06-02 15:01:09:136] PID=[7444] TID=[2920]  [Info] "  OnRecentContact  899822d7-454a-426f-aed2-80973aefbf0e [] " 	WxSessionWnd::OnRecentContact .\wechat\WxSessionWnd.cpp  line:386
[2017-06-02 15:01:09:136] PID=[7444] TID=[2920]  [Info] "  OnRecentContact  d63b9084-4d3e-452a-9ba0-37432c4d23b6 [] " 	WxSessionWnd::OnRecentContact .\wechat\WxSessionWnd.cpp  line:386
[2017-06-02 15:01:09:137] PID=[7444] TID=[2920]  [Info] "  OnRecentContact  f136933b-bb6f-4450-b69e-3a8cb3ce685b [] " 	WxSessionWnd::OnRecentContact .\wechat\WxSessionWnd.cpp  line:386
[2017-06-02 15:01:09:137] PID=[7444] TID=[2920]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 15:01:09:137] PID=[7444] TID=[2920]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 15:01:09:137] PID=[7444] TID=[2920]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 15:01:09:137] PID=[7444] TID=[2920]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 15:01:09:137] PID=[7444] TID=[2920]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 15:01:09:137] PID=[7444] TID=[2920]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 15:01:09:193] PID=[7444] TID=[2920]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 15:01:09:193] PID=[7444] TID=[2920]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 15:01:09:193] PID=[7444] TID=[2920]  [Info] "  thread test  " 	WxSessionWnd::onClientTypes .\wechat\WxSessionWnd.cpp  line:1005
[2017-06-02 15:01:10:776] PID=[7444] TID=[2920]  [Info] "  thread test  " 	WxSessionWnd::cancelSend .\wechat\WxSessionWnd.cpp  line:897
[2017-06-02 15:01:10:780] PID=[7444] TID=[2920]  [Info] "  thread test  " 	WxSessionWnd::cancelSend .\wechat\WxSessionWnd.cpp  line:897
[2017-06-02 15:01:10:783] PID=[7444] TID=[2920]  [Info] "  thread test  " 	WxSessionWnd::cancelSend .\wechat\WxSessionWnd.cpp  line:897
[2017-06-02 15:01:11:756] PID=[5860] TID=[6672]  [Info] "start to logging to server  mmsrvpub.srcdoc.com  port  10130" 	RemoteServerConn::start .\RemoteServerConn.cpp  line:54
[2017-06-02 15:01:11:809] PID=[5860] TID=[6672]  [Info] "remote server connected code   0" 	NetStateEvent::onConnected .\server-events\NetStateEvent.cpp  line:37
[2017-06-02 15:01:37:209] PID=[5860] TID=[6672]  [Info] "0 119.23.75.90 10038" 	AccountPresenter::onRedirect .\login\account_presenter.cpp  line:90
[2017-06-02 15:01:37:214] PID=[5860] TID=[6672]  [Info] "stop remote server  " 	RemoteServerConn::stop .\RemoteServerConn.cpp  line:88
[2017-06-02 15:01:37:218] PID=[5860] TID=[6672]  [Info] "start to logging to server  119.23.75.90  port  10038" 	RemoteServerConn::start .\RemoteServerConn.cpp  line:54
[2017-06-02 15:01:37:227] PID=[5860] TID=[6672]  [Info] "remote server connected code   0" 	NetStateEvent::onConnected .\server-events\NetStateEvent.cpp  line:37
